2026-05-13 16:12:06 | INFO     | app.main | 🚀 Starting Salesforce PermissionSync Platform...
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/raw_xml
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/parsed_json
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/reports
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/raw_xml
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/parsed_json
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/reports
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/raw_xml
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/parsed_json
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/reports
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: logs
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: temp
2026-05-13 16:12:06 | INFO     | app.main |   ✓ Ensured directory: exports
2026-05-13 16:12:06 | INFO     | app.main | ✅ Platform ready.
2026-05-13 16:37:23 | INFO     | app.main | 🚀 Starting Salesforce PermissionSync Platform...
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/raw_xml
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/parsed_json
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/reports
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/raw_xml
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/parsed_json
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/reports
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/raw_xml
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/parsed_json
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/reports
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: logs
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: temp
2026-05-13 16:37:23 | INFO     | app.main |   ✓ Ensured directory: exports
