2026-07-03 23:03:08 | INFO     | app.main | 🚀 Starting Salesforce PermissionSync Platform...
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/raw_xml
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/parsed_json
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: storage/DEV/reports
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/raw_xml
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/parsed_json
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: storage/UAT/reports
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/raw_xml
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/parsed_json
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: storage/PROD/reports
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: logs
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: temp
2026-07-03 23:03:08 | INFO     | app.main |   ✓ Ensured directory: exports
2026-07-03 23:03:08 | INFO     | app.main | ✅ Platform ready.
2026-07-03 23:08:03 | INFO     | app.api.orgs | OAuth connection request: DEV org 'PermSync-DEV' → https://keripalechinmay3775dev-dev-ed.develop.my.salesforce.com/
2026-07-03 23:08:03 | INFO     | app.services.salesforce_service | Connecting to DEV org via OAuth 2.0 Client Credentials
2026-07-03 23:08:03 | INFO     | app.auth.salesforce_oauth | OAuth Client Credentials authentication via https://keripalechinmay3775dev-dev-ed.develop.my.salesforce.com/services/oauth2/token
2026-07-03 23:08:04 | INFO     | httpx | HTTP Request: POST https://keripalechinmay3775dev-dev-ed.develop.my.salesforce.com/services/oauth2/token "HTTP/1.1 200 OK"
2026-07-03 23:08:04 | INFO     | app.auth.salesforce_oauth | OAuth Client Credentials authentication successful → instance: https://keripalechinmay3775dev-dev-ed.develop.my.salesforce.com
2026-07-03 23:08:04 | INFO     | app.services.salesforce_service | OAuth token acquired → https://keripalechinmay3775dev-dev-ed.develop.my.salesforce.com
2026-07-03 23:08:06 | INFO     | app.services.salesforce_service | ✅ Successfully connected to DEV org (Thinqloud) via OAuth 2.0 Client Credentials
2026-07-03 23:08:36 | INFO     | app.api.orgs | OAuth connection request: UAT org 'PermSync-UAT' → https://keripalechinmayuat-dev-ed.develop.my.salesforce.com/
2026-07-03 23:08:36 | INFO     | app.services.salesforce_service | Connecting to UAT org via OAuth 2.0 Client Credentials
2026-07-03 23:08:36 | INFO     | app.auth.salesforce_oauth | OAuth Client Credentials authentication via https://keripalechinmayuat-dev-ed.develop.my.salesforce.com/services/oauth2/token
2026-07-03 23:08:37 | INFO     | httpx | HTTP Request: POST https://keripalechinmayuat-dev-ed.develop.my.salesforce.com/services/oauth2/token "HTTP/1.1 200 OK"
2026-07-03 23:08:37 | INFO     | app.auth.salesforce_oauth | OAuth Client Credentials authentication successful → instance: https://keripalechinmayuat-dev-ed.develop.my.salesforce.com
2026-07-03 23:08:37 | INFO     | app.services.salesforce_service | OAuth token acquired → https://keripalechinmayuat-dev-ed.develop.my.salesforce.com
2026-07-03 23:08:38 | INFO     | app.services.salesforce_service | ✅ Successfully connected to UAT org (D.K.T.E) via OAuth 2.0 Client Credentials
2026-07-03 23:08:59 | INFO     | app.api.orgs | Fetching profiles for DEV
2026-07-03 23:09:00 | INFO     | httpx | HTTP Request: GET https://keripalechinmay3775dev-dev-ed.develop.my.salesforce.com/services/data/v60.0/limits "HTTP/1.1 200 OK"
2026-07-03 23:09:00 | INFO     | app.services.salesforce_service | Fetching profiles from DEV org...
2026-07-03 23:09:01 | INFO     | app.services.salesforce_service | Found 44 profiles in DEV
2026-07-03 23:09:01 | INFO     | app.api.orgs | Fetching profiles for UAT
2026-07-03 23:09:02 | INFO     | httpx | HTTP Request: GET https://keripalechinmayuat-dev-ed.develop.my.salesforce.com/services/data/v60.0/limits "HTTP/1.1 200 OK"
2026-07-03 23:09:02 | INFO     | app.services.salesforce_service | Fetching profiles from UAT org...
2026-07-03 23:09:02 | INFO     | app.services.salesforce_service | Found 44 profiles in UAT
2026-07-03 23:09:28 | INFO     | app.api.orgs | Fetching profiles for DEV
2026-07-03 23:09:30 | INFO     | httpx | HTTP Request: GET https://keripalechinmay3775dev-dev-ed.develop.my.salesforce.com/services/data/v60.0/limits "HTTP/1.1 200 OK"
2026-07-03 23:09:30 | INFO     | app.services.salesforce_service | Fetching profiles from DEV org...
2026-07-03 23:09:30 | INFO     | app.services.salesforce_service | Found 44 profiles in DEV
2026-07-03 23:09:30 | INFO     | app.api.orgs | Fetching profiles for UAT
2026-07-03 23:09:32 | INFO     | httpx | HTTP Request: GET https://keripalechinmayuat-dev-ed.develop.my.salesforce.com/services/data/v60.0/limits "HTTP/1.1 200 OK"
2026-07-03 23:09:32 | INFO     | app.services.salesforce_service | Fetching profiles from UAT org...
2026-07-03 23:09:32 | INFO     | app.services.salesforce_service | Found 44 profiles in UAT
2026-07-03 23:11:56 | INFO     | app.api.orgs | Fetching profiles for UAT
2026-07-03 23:11:57 | INFO     | httpx | HTTP Request: GET https://keripalechinmayuat-dev-ed.develop.my.salesforce.com/services/data/v60.0/limits "HTTP/1.1 200 OK"
